Head word	Translation	CurrentDomain
Barngarlamadha	barngarlamadha.jpg	current
babi	babi.jpg	current
badharra		current
barnma		current
boogininya		current
dhabmoordi		current
gabmoona		current
gadnyi		current
galgarridhi		current
galgarridni		current
gawoo	gawoo.jpg	current
gayala		current
goodyoolganha		current
idna	idna.jpg	current
indoo		current
inha	inha.jpg	current
malboo		current
mangardi		current
mirinya	mirinya.jpg	current
moondalyabmi		current
moondooldoo		current
moordoo		current
ngami	ngami.jpg	current
nganya		current
ngarla		current
ngarrinyarlboo	ngarrinyarlboo.jpg	current
ngooga		current
nhagoo	nhagoo.jpg	current
nhai		current
wambirri		current
warda		current
wardanda	wardanda.jpg	current
wardarna	wardarna.jpg	current
warirri		current
widla		current
wildyali		current
wilya		current
yadhanyaroo		current
yagala		current
yarda	yarda.jpg	current
yarnbala		current
yoora	yoora.jpg	current
